이름,슬롯,타입,옵션
Pox Faulds,Legs,Pants,"When 3 or more enemies are within 12 yards, you release a vile stench that deals 450–550% weapon damage as Poison every second for 10 seconds to enemies within 15 yards. ; Basic Information ; Advanced Information ; Pictures and Video ; Has no cooldown and activates as long as 3 enemies or more are nearby. ; Benefits from Poison skills deal X% more damage ."
Pride of Cassius,Waist,Mighty Belt,"Increases the duration of Ignore Pain by 4–6 seconds. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; 165-205 Base Armor"
Pride of the Invoker,Hands,Set Gloves,"Part of the Thorns of the Invoker set ; The two piece set bonus will increase your Thorns by 4,000. ; The three piece bonus will cause any enemies within 15 yards to be hit by your Thorns damage. ; Thorns of the Invoker Burden of the Invoker ; Pride of the Invoker ; Shackles of the Invoker"
Pride's Fall,Head,Helmet,"Your resource costs are reduced by 30% after not taking damage for 5 seconds. ; This item is a Reaper of Souls only item. ; Randomly drops from the Act 3 & 4 Horadric Cache, the reward for completing all 5 bounties in the act. ; Level 12 Stats ; Level 70 Stats"
Promise of Glory,Wrists,Bracers,"4-6% chance to spawn a Nephalem Glory Globe when you Blind an enemy. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; 158-178 Base Armor"
Pull of the Earth,Hands,Set Gloves,Part of the Might of the Earth set ; The two piece set bonus decreases the Earthquake cooldown by 2 seconds for each enemy killed by the Earthquake. ; The four piece set bonus will cast Earthquake where you land your Leap. ; Earthquakes generated by the 4 piece set bonus WILL generate Fury if you're using the Earthen Might Passive Skill. ; Might of the Earth Pull of the Earth ; Spires of the Earth
Pus Spitter,Weapon (2H),Crossbow,"25–50% chance to lob an acid blob when attacking. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; Damage"
Puzzle Ring,Ring,Ring,"Summon a Treasure Goblin who picks up normal-quality items for you. After picking up 12-16 items, he drops a rare item with a chance for a legendary ; Does not work if equipped by your Follower. ; The Goblin is summoned when equipping the ring and follows you as long as the ring stays equipped. ; The normal-quality item counter will persist through death, act transitions, and un-equipping the item. ; Leaving the game resets the count and you must start collecting normal-quality items again. ; The best source for normal-quality items is weapon racks and similar clickable objects."
Quetzalcoatl,Head,Voodoo Mask,"Locust Swarm and Haunt now deal their damage in half of the normal duration. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; 84–113 Base Armor"
Quick Draw Belt,Waist,Belt,"Attack Speed Increased by 3.0–4.0% Crafted Belt that has 3 random Magic Properties ; Belts don't normally roll with Attack Speed. ; 1,200 Gold ; 16x Common Debris ; 4x Exquisite Essence ; 3x Iridescent Tear"
Rabid Strike,Weapon (1H),Fist Weapon,"15.0–25.0% Chance to Slow on Hit Critical Hit Damage Increased by 20.0–35.0% ; This fist weapon has a high Slow on Hit chance and only some legendary weapons can roll with Critical Hit Damage. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. The legendary effect does not change with level."
Raekor's Breeches,Legs,Set Pants,"Part of the The Legacy of Raekor set ; The 5 set piece bonus DoT cannot crit. Instead, your Critical Hit Chance and Critical Hit Damage will be calculated into its damage. ; The Legacy of Raekor Raekor’s Breeches ; Raekor’s Burden ; Raekor’s Striders ; Raekor’s Will"
Raekor's Burden,Shoulders,Set Shoulders,"Part of the The Legacy of Raekor set ; The 5 set piece bonus DoT cannot crit. Instead, your Critical Hit Chance and Critical Hit Damage will be calculated into its damage. ; The Legacy of Raekor Raekor’s Breeches ; Raekor’s Burden ; Raekor’s Striders ; Raekor’s Will"
Raekor's Heart,Chest,Set Chest Armor,"Part of the The Legacy of Raekor set ; The 5 set piece bonus DoT cannot crit. Instead, your Critical Hit Chance and Critical Hit Damage will be calculated into its damage. ; The Legacy of Raekor Raekor’s Breeches ; Raekor’s Burden ; Raekor’s Striders ; Raekor’s Will"
Raekor's Will,Head,Set Helmet,"Part of the The Legacy of Raekor set ; The 5 set piece bonus DoT cannot crit. Instead, your Critical Hit Chance and Critical Hit Damage will be calculated into its damage. ; The Legacy of Raekor Raekor’s Breeches ; Raekor’s Burden ; Raekor’s Striders ; Raekor’s Will"
Raekor's Wraps,Hands,Set Gloves,"Part of the The Legacy of Raekor set ; The 5 set piece bonus DoT cannot crit. Instead, your Critical Hit Chance and Critical Hit Damage will be calculated into its damage. ; The Legacy of Raekor Raekor’s Breeches ; Raekor’s Burden ; Raekor’s Striders ; Raekor’s Will"
Raekor’s Striders,Feet,Set Boots,"Part of the The Legacy of Raekor set ; The 5 set piece bonus DoT cannot crit. Instead, your Critical Hit Chance and Critical Hit Damage will be calculated into its damage. ; The Legacy of Raekor Raekor’s Breeches ; Raekor’s Burden ; Raekor’s Striders ; Raekor’s Will"
Rakoff's Glass of Life,Neck,Amulet,"Enemies you kill have a 3-4% additional chance to drop a health globe. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Secondary Stats"
Ramaladni's Gift,,Consumable,"Use on an unsocketed weapon to add the maximum number of sockets that item type allows ; Very rare drop, found from any monster or area in the game. ; Only drops in Torment 1 and higher. ; Only works on weapons and essentially adds another primary stat to the item. ; Still allows you to use the Mystic to re-roll other stats on the item. ; Consumed on use."
Ranslor's Folly,Wrists,Bracers,Energy Twister Periodically pulls in enemies within 30 yards ; This item was exclusive to Season 3. However it can now drop in any game mode. ; The minimum level this item can drop at is 70. Below you will find the range of stats found on the level 70 version. ; 336-421 Base Armor ; Primary Stat ; Critical Hit Chance Increased by 4.5–6.0%
Razor Strop,Waist,Belt,"Picking up a Health Globe releases an explosion that deals 300–400% weapon damage as Fire to enemies within 20 yards. ; Basic Information ; Advanced Information ; Pictures and Video ; Benefits from Fire skills deal X% more damage . ; The effect is triggered when a Health Globe heals you, meaning Health Globes picked up by party members will trigger explosions as long as you're within range"
Reaper’s Wraps,Wrists,Bracers,Health globes restore 25–30% of your primary resource.
Rechel's Ring of Larceny,Ring,Ring,"Gain 45–60% increased movement speed for 4 seconds after Fearing an enemy. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; One of 3 Magic Properties (varies)"
Relic of Akarat,,Templar Relics,"Equip on Follower: Gain access to all skills. ; This Relic allows your Templar to use all 8 of his skills instead of just 4. All 8 skills will only become selected when you hire him. ; Templar Skills ; Heal - Heals you and the Templar for 148548 Life. ; Loyalty - Regenerates 4952 Life per second for you and the Templar. ; Charge - Charges a target, dealing 280% weapon damage and stunning all enemies within 8 yards for 3 seconds."
Remorseless,Weapon (1H),One-Handed Mighty Weapon,"Hammer of the Ancients has a 25–30% chance to summon an Ancient for 20 seconds. ; A maximum of 3 Ancients can be summoned by this weapon at any given time. ; These Ancients can be in addition to the Ancients summoned by Call of the Ancients ability, for a total of 6 Ancients. ; These Ancients are not affected by the Immortal King 4-piece bonus that makes Ancients last until they die; they will only last 20 seconds. ; This item was an exclusive Season 1 drop, but now can be found anywhere as of Patch 2.1.2 and the end of Season 1. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found."
Restraint,Ring,Set Ring,Part of the Bastions of Will set
Reusable Parts,Material,Crafting Material,Obtained by using the Blacksmith to salvage normal weapons and armor. ; Obtained by salvaging level 61-70 normal items.
Rhen'ho Flayer,Weapon (1H),Ceremonial Knife,"Plague of Toads now seek out enemies and can explode twice. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 12 Stats ; Level 70 Stats ; The minimum level this item can drop at is 12. Below you will find the range of stats found on the level 12 version, however the item can drop at any level above 12. The legendary effect does not change with level. ; Damage"
